Order_ID,Product_Category,Shipping_Mode,Order_Value,Package_Weight_Kg,Warehouse_Distance_Km,Items_in_Order,Warehouse_Processing_Hours,Courier_Load_Index,Traffic_Index,Delivery_Time_Hours
ORD-100044,Books,Standard,1303.33,1.382,1049.6,6,1.61,5.59,4.38,27.81
ORD-100844,Electronics,Same_Day,6878.53,5.505,31.7,3,2.36,5.79,2.13,7.85
ORD-101069,Apparel,Standard,2381.41,0.399,361.3,3,8.75,7.13,5.12,25.57
ORD-100342,Books,Same_Day,199.0,0.823,23.5,2,2.44,7.23,7.29,9.8
ORD-100643,Apparel,Express,1933.36,0.732,2.3,5,1.87,3.28,8.66,10.36
ORD-100676,Beauty,Standard,853.69,0.972,817.2,4,3.27,6.53,4.84,32.17
ORD-100209,Home_Kitchen,Standard,2584.84,1.611,33.6,2,1.57,7.91,7.22,16.29
ORD-100479,Apparel,Express,1804.85,0.492,367.1,3,2.35,5.33,,16.81
ORD-100076,Apparel,Express,2110.98,1.688,15.1,9,6.67,4.68,,14.75
ORD-100864,Electronics,Same_Day,65379.99,4.223,31.4,8,5.37,4.4,4.78,13.41
ORD-100532,Apparel,Express,2478.51,1.16,271.9,2,2.48,6.86,6.23,16.71
ORD-100874,Groceries,Standard,836.51,3.131,17.0,2,4.97,6.94,5.39,18.67
ORD-100542,Books,Standard,1482.82,0.986,579.2,4,4.98,7.62,5.06,29.88
ORD-100107,Apparel,Standard,1638.21,0.292,124.2,4,4.12,2.88,5.16,17.64
ORD-100785,Apparel,standard,1118.01,0.644,1457.4,5,4.4,5.59,4.52,37.92
ORD-100323,Home_Kitchen,Standard,,10.233,22.9,5,1.06,1.99,3.52,13.83
ORD-100424,Home_Kitchen,Standard,,9.556,418.8,3,3.9,5.46,4.13,23.92
ORD-100078,Home_Kitchen,Standard,2189.99,8.195,69.3,7,8.46,6.47,6.6,24.38
ORD-101055,Groceries,Standard,1384.45,7.349,327.8,4,3.16,5.57,4.15,18.54
ORD-100296,Beauty,Standard,724.39,1.371,23.5,3,3.77,7.14,6.57,19.1
ORD-100170,Apparel,Standard,1494.67,0.648,37.0,4,1.59,6.52,4.89,15.57
ORD-100049,Electronics,Same_Day,6372.19,1.427,51.6,6,3.36,6.15,5.77,12.45
ORD-100910,Groceries,Standard,1795.64,,383.3,5,4.46,7.58,10.0,26.07
ORD-100535,APPAREL ,Standard,4267.39,1.076,255.6,4,1.59,7.37,,20.13
ORD-100596,Groceries,Standard,1011.17,3.921,1220.0,3,1.59,5.71,4.97,27.65
ORD-100575,Home_Kitchen,Standard,4290.61,7.124,1068.7,7,5.24,7.9,6.45,34.18
ORD-100735,groceries,Same_Day,3553.37,5.866,46.7,5,1.27,2.89,8.66,5.89
ORD-100925,Apparel,Express,1339.89,1.125,240.6,3,1.03,6.47,6.16,12.11
ORD-100707,Books,Standard,406.4,1.003,982.4,3,3.28,7.38,5.06,25.93
ORD-100310,Home_Kitchen,Express,1400.1,3.292,144.1,3,4.27,3.11,2.54,12.54
ORD-100615,Groceries,Standard,1061.7,1.997,1265.2,2,1.25,4.91,5.29,27.91
ORD-100070,Apparel,Standard,3163.44,1.268,794.7,5,3.72,8.03,5.7,28.79
ORD-100756,Apparel,Standard,1026.87,0.311,312.7,2,3.93,7.17,4.78,23.18
ORD-100023,Books,Standard,1658.62,4.406,1339.4,6,4.87,6.8,1.47,34.67
ORD-100109,Beauty,Express,866.13,0.503,148.8,3,2.3,6.18,3.63,13.38
ORD-101004,Groceries,Express,588.68,4.966,187.4,3,1.2,5.81,5.4,11.93
ORD-100058,Electronics,Standard,9094.42,2.635,1433.6,4,5.46,9.65,5.4,43.53
ORD-100439,Groceries,Express,896.6,3.419,25.8,3,5.96,6.88,5.88,12.14
ORD-100923,Home_Kitchen,Express,3072.62,4.497,361.7,4,3.51,3.77,4.32,16.53
ORD-100327,Home_Kitchen,Standard,1388.35,5.19,18.9,4,0.74,3.71,4.54,15.7
ORD-100427,Books,Same_Day,847.26,2.594,53.6,5,2.49,6.55,5.33,7.08
ORD-101018,electronics,Express,7874.55,4.205,124.3,4,7.14,6.96,6.78,22.7
ORD-100661,Books,Standard,743.61,0.914,166.7,3,5.57,5.8,4.0,20.65
ORD-101145,Apparel,Standard,19478.91,1.288,851.0,6,1.92,4.59,5.92,27.5
ORD-100382,Books,Standard,506.46,0.868,604.0,2,2.95,5.94,7.95,27.63
ORD-100101,Groceries,Same_Day,1794.04,4.287,54.2,5,0.68,3.54,5.12,6.39
ORD-100333,Books,Standard,443.64,1.135,312.4,2,2.04,8.0,5.64,20.09
ORD-100903,Home_Kitchen,Express,2490.87,3.432,21.3,2,4.62,5.46,6.3,13.29
ORD-100435,Apparel,Express,2700.21,0.617,257.1,2,1.4,5.4,6.46,11.29
ORD-100599,Groceries,Standard,2425.85,3.391,147.9,6,5.13,6.75,3.37,19.55
ORD-100051,Electronics,Standard,17044.72,2.386,12.4,3,3.24,4.15,6.83,88.03
ORD-100365,APPAREL ,Standard,3255.53,0.491,345.5,3,0.3,2.7,3.74,17.05
ORD-100286,Electronics,Express,1714.5,1.167,208.3,2,2.05,2.72,5.9,11.43
ORD-100198,Electronics,Standard,21907.55,2.897,1277.3,4,4.29,7.19,4.66,36.47
ORD-100667,Beauty,Same_Day,9072.75,1.575,43.8,9,5.11,6.3,4.68,13.93
ORD-100514,Apparel,Express,1745.18,0.574,6.9,3,3.64,7.86,6.56,13.03
ORD-100244,Home_Kitchen,Standard,1186.01,1.98,546.1,3,2.23,8.16,4.44,24.34
ORD-100467,Beauty,Express,3195.23,0.796,197.0,4,1.39,5.95,5.69,12.12
ORD-100493,Apparel,Standard,1230.03,0.32,173.8,2,0.69,4.03,5.72,15.43
ORD-100054,Groceries,Standard,1418.47,11.876,4.6,7,3.81,5.25,5.22,15.65
ORD-101167,Home_Kitchen,Standard,3405.22,3.262,35.0,4,3.7,8.27,5.83,20.41
ORD-100768,Electronics,Standard,7544.19,,18.5,3,1.95,2.88,3.54,15.19
ORD-100309,Electronics,Standard,12008.79,7.483,546.3,5,4.07,2.48,5.56,25.85
ORD-100056,Home_Kitchen,Standard,2090.16,2.869,50.0,2,3.81,7.62,5.38,19.56
ORD-100086,Groceries,Standard,1105.76,6.209,719.1,9,4.73,3.54,3.85,29.1
ORD-100721,Apparel,Express,706.89,0.419,39.3,2,1.97,5.04,5.59,10.94
ORD-100306,Apparel,Express,915.61,0.308,582.9,2,0.42,3.84,4.99,16.69
ORD-100736,Apparel,Standard,328.93,,533.9,1,5.59,7.69,5.57,27.21
ORD-101177,Apparel,Standard,3130.14,1.808,237.7,8,6.32,4.9,8.95,25.06
ORD-100712,Books,Standard,601.54,0.837,310.1,3,1.62,4.83,99.0,17.81
ORD-100582,Electronics,Same_Day,5317.08,2.458,53.5,1,6.77,7.52,7.71,16.85
ORD-101022,Beauty,Standard,1344.57,0.687,437.7,6,2.26,6.64,4.93,20.27
ORD-100935,Apparel,Standard,1038.76,1.19,442.4,3,3.28,7.68,5.92,23.57
ORD-101036,Apparel,Standard,1256.37,0.273,170.8,1,2.05,4.87,4.52,14.61
ORD-100538,Electronics,Express,7990.01,3.252,22.2,3,1.75,5.63,6.03,12.75
ORD-100558,Home_Kitchen,Standard,3508.82,12.246,406.0,10,3.4,7.8,5.7,27.75
ORD-100650,Apparel,Standard,1253.45,0.957,19.4,5,6.39,8.74,5.34,19.27
ORD-100298,Groceries,Standard,6154.14,17.66,96.7,12,6.71,7.67,3.46,21.64
ORD-100634,Electronics,standard,8304.03,2.636,134.4,3,3.31,5.92,6.91,18.46
ORD-100415,Apparel,Standard,1730.37,1.193,284.0,8,4.43,5.65,5.65,20.68
ORD-100410,Groceries,Express,605.06,3.051,32.2,4,4.77,6.86,6.1,12.41
ORD-100049,Electronics,Same_Day,6372.19,1.427,51.6,6,3.36,6.15,5.77,12.45
ORD-100731,Electronics,Standard,7737.99,1.172,122.6,1,4.14,8.48,6.52,23.05
ORD-100566,Groceries,Same_Day,1507.03,7.126,35.1,6,5.69,5.11,3.54,8.18
ORD-100411,Groceries,Express,1299.06,2.879,139.0,5,2.05,5.3,5.65,8.29
ORD-100911,Books,Express,310.33,0.629,55.0,2,2.1,6.47,8.21,11.64
ORD-101165,Books,Same_Day,504.93,0.525,3.3,2,4.4,5.8,4.29,8.76
ORD-100371,Apparel,Standard,1971.81,0.725,792.5,6,4.22,8.66,6.41,29.05
ORD-100816,Books,Express,495.17,1.474,45.3,3,1.7,7.16,8.49,11.73
ORD-100693,Apparel,Standard,3254.26,2.147,1207.3,4,1.74,6.15,7.68,31.91
ORD-100598,Beauty,Same_Day,2661.77,0.187,18.1,2,4.4,7.0,3.01,9.65
ORD-100920,Electronics,Express,53789.69,18.337,611.1,4,1.76,4.44,3.56,21.22
ORD-100755,Apparel,Same_Day,1269.68,0.608,29.6,2,0.8,3.66,4.19,5.32
ORD-100344,Books,Standard,370.55,1.812,16.0,4,4.19,6.71,3.64,16.59
ORD-100247,Apparel,Standard,3234.07,0.672,159.8,3,4.11,3.84,5.61,18.45
ORD-100361,Electronics,Standard,23040.63,2.996,9.5,2,4.29,9.92,6.65,21.99
ORD-101128,Groceries,Express,844.53,8.069,13.7,2,3.07,5.1,4.01,7.82
ORD-100808,Home_Kitchen,Express,6219.06,10.738,11.1,3,3.84,5.31,4.77,12.66
ORD-100451,Books,Standard,346.76,0.993,50.2,1,5.23,5.56,4.01,17.56
ORD-100275,Apparel,Standard,3588.13,1.147,44.9,9,2.01,3.31,3.3,13.54
ORD-100714,Books,Standard,946.04,1.446,1333.7,7,3.89,6.2,6.92,36.32
ORD-101180,Groceries,Standard,1282.5,7.429,425.6,6,4.27,7.07,7.15,24.22
ORD-100192,Electronics,Standard,2806.76,2.529,440.7,2,0.51,2.93,4.15,18.41
ORD-100168,Apparel,Express,1600.48,1.345,35.9,5,4.7,4.16,5.05,11.88
ORD-100196,Home_Kitchen,Express,2537.42,7.112,300.0,3,1.88,6.82,4.96,15.4
ORD-100265,Electronics,Standard,2570.72,1.38,409.2,1,3.15,2.12,1.87,20.83
ORD-101045,Apparel,Standard,2476.72,0.505,1498.9,2,2.97,5.01,1.59,33.86
ORD-100738,Apparel,Standard,1540.24,-1.5,363.9,3,9.34,8.35,7.94,31.95
ORD-100940,Apparel,standard,1833.35,0.685,25.1,3,3.38,6.48,6.45,17.83
ORD-100583,Apparel,Standard,2828.43,0.821,1188.7,4,2.47,4.15,5.44,32.37
ORD-100886,Apparel,Standard,2140.62,1.264,11.5,4,2.4,2.96,6.77,15.09
ORD-100628, Home_Kitchen,Standard,1993.25,2.061,543.8,5,4.48,7.21,6.43,28.71
ORD-100715,electronics,Standard,36131.46,6.007,659.0,8,5.76,6.77,4.76,31.51
ORD-100745,Home_Kitchen,Standard,2393.2,7.11,79.3,4,3.1,9.64,6.13,22.13
ORD-100717,Electronics,Express,27708.16,4.02,447.4,4,3.53,4.8,5.92,22.1
ORD-101026,Beauty,Standard,1004.77,0.452,176.0,2,0.8,4.94,1.0,11.45
ORD-100875,Books,Standard,609.56,2.043,30.8,8,5.0,6.18,4.41,18.4
ORD-100433,Books,Standard,1186.13,1.536,2.5,4,3.25,5.77,5.42,14.78
ORD-100765,Electronics,Express,26117.34,1.257,327.5,2,1.46,6.86,6.49,16.6
ORD-101014,Apparel,Express,1046.23,1.057,47.3,6,3.41,5.03,2.04,9.5
ORD-101061,Home_Kitchen,Standard,6814.92,2.308,1258.5,4,4.38,5.98,4.55,37.73
ORD-100135,Electronics,Standard,24347.83,7.008,1289.8,3,2.6,8.32,6.27,39.28
ORD-100617,Apparel,Standard,444.15,1.219,111.6,4,2.57,4.23,4.48,14.86
ORD-100881, Home_Kitchen,Standard,999.43,2.164,377.5,2,2.29,4.86,7.61,21.21
ORD-100332,Groceries,Express,4351.92,11.595,373.6,4,1.76,4.28,7.43,14.99
ORD-100277,Home_Kitchen,Standard,3871.54,2.503,44.3,3,2.64,7.11,5.42,17.42
ORD-100158,Groceries,Standard,520.65,2.269,21.3,2,2.86,5.34,6.34,14.8
ORD-100140,Home_Kitchen,Express,1988.24,10.895,305.4,7,6.49,5.12,4.4,21.01
ORD-100907,Electronics,standard,2657.84,1.079,501.0,1,4.79,5.93,4.59,28.17
ORD-100724,Electronics,Standard,11786.66,6.672,1338.3,3,4.38,5.4,5.23,41.05
ORD-100319,Beauty,Same_Day,1270.21,0.499,43.5,3,3.22,5.16,3.82,8.77
ORD-101178,Apparel,Standard,883.14,0.39,138.1,1,0.43,3.28,5.28,11.29
ORD-101156,Electronics,Express,13419.23,23.236,418.1,3,5.13,6.05,3.91,22.18
ORD-101070,Books,Standard,530.28,1.481,9.7,3,3.67,6.3,6.72,17.59
ORD-100867,Books,Standard,598.58,1.421,271.4,3,3.08,6.33,8.08,23.35
ORD-100482,Home_Kitchen,Standard,1267.77,0.642,179.7,2,1.39,4.31,3.64,14.73
ORD-100865,Beauty,Standard,6658.87,0.731,1001.4,5,2.63,6.28,3.63,30.1
ORD-100184,Groceries,Standard,1009.37,5.935,487.1,3,3.89,10.0,6.27,26.19
ORD-100425,Books,Same_Day,1213.38,1.334,46.3,2,4.02,3.13,3.84,8.39
ORD-101161,Groceries,Standard,3501.07,5.928,54.6,5,3.2,7.74,2.24,15.78
ORD-100259,Home_Kitchen,Express,4726.37,6.756,282.9,2,0.65,4.57,5.74,77.41
ORD-100811,Electronics,Standard,15830.74,2.313,256.1,3,6.24,8.71,7.34,27.17
ORD-100163,Electronics,Same_Day,2424.05,1.994,42.4,2,1.15,6.25,10.0,9.73
ORD-100420,Groceries,Express,847.77,3.602,101.9,3,4.39,7.13,5.66,12.76
ORD-101182,Electronics,Express,26114.11,2.466,353.9,0,2.24,5.52,5.94,16.56
ORD-100156,Apparel,Standard,5075.89,1.499,68.3,5,5.86,7.71,5.29,23.05
ORD-100711,Groceries,Same_Day,855.55,6.821,27.2,5,4.94,3.21,8.66,11.23
ORD-100422,electronics,Express,2757.57,0.796,21.4,1,1.09,5.25,6.12,13.32
ORD-100845,Books,Standard,1201.79,1.413,1126.0,3,3.58,6.3,7.46,32.86
ORD-100199,Apparel,Standard,738.18,0.506,340.5,3,3.3,5.59,2.99,18.45
ORD-100961,Apparel,Express,2386.63,0.737,53.0,6,2.3,5.74,4.84,12.42
ORD-100462,Beauty,Express,1518.61,0.512,163.7,7,4.85,9.33,4.88,13.21
ORD-100850,Electronics,Standard,7435.6,6.418,229.1,2,1.4,5.34,4.71,20.19
ORD-100713,Beauty,Same_Day,707.46,0.295,27.9,2,7.3,7.03,6.46,12.92
ORD-100834,Groceries,Standard,276.21,0.499,34.4,3,4.77,8.66,6.71,16.58
ORD-100208,Electronics,Express,3133.98,1.064,14.6,1,1.36,2.54,5.57,8.32
ORD-100605,Books,Standard,206.03,0.322,800.9,1,3.85,8.54,4.28,29.82
ORD-100941,Books,Standard,1773.2,1.566,15.3,5,3.81,5.87,1.85,15.3
ORD-100618,Electronics,Standard,4641.58,6.056,669.7,3,1.95,5.4,2.61,25.24
ORD-100289,Electronics,Standard,15301.54,2.637,404.0,3,2.45,5.56,7.92,24.5
ORD-100997,Electronics,Standard,5357.95,4.149,6.0,2,2.42,5.6,,15.59
ORD-100983,Home_Kitchen,Express,3456.89,3.089,309.7,2,1.57,5.84,8.36,16.36
ORD-101083,Books,Standard,1508.44,1.932,47.4,7,2.25,4.13,5.33,15.29
ORD-100536,Home_Kitchen,Standard,827.12,8.415,453.8,5,5.08,5.86,5.72,28.07
ORD-100578,Books,Standard,1125.58,1.381,1135.4,3,1.47,1.63,2.85,26.15
ORD-100096,Apparel,Express,1553.99,1.773,38.5,5,1.8,4.74,4.9,10.15
ORD-101041,Groceries,Express,788.55,4.106,174.1,3,1.74,3.93,2.93,9.06
ORD-100841,Books,Standard,734.96,1.217,402.5,3,3.47,6.45,4.86,22.3
ORD-100178,Books,Express,290.78,0.856,30.9,4,7.36,6.36,4.35,15.53
ORD-100031,Beauty,Same_Day,779.11,1.064,17.8,5,3.07,6.73,5.51,8.15
ORD-100231,Apparel,Express,2378.73,0.794,135.1,5,1.93,5.54,6.17,12.61
ORD-100934,Groceries,Standard,884.48,3.415,35.2,3,2.61,4.73,2.78,12.56
ORD-100665,Groceries,Standard,2063.03,7.552,146.2,4,,8.39,6.96,22.16
ORD-100760,Groceries,Standard,1049.13,2.504,846.0,2,2.89,7.1,5.64,25.49
ORD-101134,Beauty,Standard,749.28,0.777,8.7,3,4.43,9.69,9.75,21.96
ORD-100331,Apparel,Express,1515.79,0.398,424.9,2,1.28,5.85,5.56,13.05
ORD-100218,Beauty,Standard,2509.59,0.263,187.3,3,4.36,5.42,5.42,18.19
ORD-100914,Beauty,Express,1778.52,0.903,15.4,5,1.34,6.11,5.42,9.24
ORD-100088,Electronics,Express,2117.53,2.975,252.6,3,7.13,6.91,6.83,19.83
ORD-100622,Beauty,Standard,1719.26,0.218,1154.3,3,3.22,4.94,6.4,34.27
ORD-101039,Electronics,Express,10455.98,2.834,208.6,3,4.82,7.59,7.66,19.05
ORD-100363,Electronics,Standard,17412.92,1.563,561.6,3,2.54,8.31,6.96,26.79
ORD-100872,Beauty,Express,2669.05,0.805,17.8,6,3.61,6.18,4.01,12.52
ORD-101053,Electronics,standard,21163.16,7.075,43.6,5,1.0,1.49,5.23,12.17
ORD-100323,Home_Kitchen,Standard,,10.233,22.9,5,1.06,1.99,3.52,13.83
ORD-100708,Apparel,Standard,4633.25,0.22,832.6,3,3.52,9.81,3.85,30.1
ORD-100793,Electronics,Express,8504.26,5.137,42.4,12,4.03,5.56,6.19,16.39
ORD-100588,Electronics,Standard,11944.39,2.621,1072.6,6,3.84,4.49,5.12,36.8
ORD-100243,Home_Kitchen,Standard,7228.59,18.608,52.3,11,4.36,7.52,5.8,23.91
ORD-100461,Electronics,Express,9747.87,4.262,23.1,3,0.86,4.22,3.15,9.37
ORD-100355,Home_Kitchen,Same_Day,5682.34,4.533,41.7,4,4.85,9.46,4.96,13.93
ORD-100362,Electronics,Standard,12429.08,1.954,53.0,5,3.53,3.95,3.74,18.25
ORD-100982,Groceries,Same_Day,305.6,4.027,7.5,2,3.09,7.58,9.0,9.09
ORD-100533,Groceries,Standard,2252.3,18.071,1379.9,5,2.38,6.19,5.58,36.38
ORD-100010,Apparel,Standard,2864.52,1.345,21.2,4,2.86,5.2,3.87,15.21
ORD-100584,Beauty,Standard,695.68,0.721,323.7,6,5.48,6.85,6.87,26.76
ORD-100706,Books,Express,1806.22,1.736,4.5,7,4.35,7.05,1.33,11.02
ORD-100240,Books,Standard,1164.39,0.917,256.1,2,0.98,4.08,5.6,15.66
ORD-100059,Electronics,Standard,7992.16,19.791,846.6,7,3.15,4.33,4.17,26.37
ORD-100839,Home_Kitchen,EXPRESS,11828.41,0.866,135.8,8,2.56,5.54,5.37,15.29
ORD-100063,Groceries,Express,1744.94,5.168,7.7,9,3.05,4.83,6.19,11.41
ORD-100723,Beauty,Same_Day,1739.95,0.997,10.5,7,3.44,6.24,3.89,8.7
ORD-100710,Beauty,Standard,1810.35,0.183,75.4,1,2.0,4.42,10.0,19.54
ORD-100720,Home_Kitchen,EXPRESS,1724.25,2.235,47.9,3,1.58,7.35,5.73,10.91
ORD-100352,Home_Kitchen,Express,12784.63,7.763,20.3,7,4.0,7.41,7.99,17.34
ORD-100677,Home_Kitchen,Express,3215.01,3.568,73.6,4,2.29,5.68,2.66,10.66
ORD-100506,Apparel,Standard,6234.65,0.818,240.3,3,0.75,5.4,,16.08
ORD-101077,Home_Kitchen,Same_Day,1975.44,2.255,12.6,1,4.22,7.93,7.03,11.56
ORD-100409,Beauty,Standard,3094.5,0.819,399.8,10,5.75,7.16,5.52,24.89
ORD-100876,Apparel,EXPRESS,2460.34,0.667,29.9,2,3.86,5.5,6.03,12.94
ORD-101183,Electronics,Standard,16435.36,2.301,419.6,4,5.83,2.96,99.0,29.33
ORD-100671,Home_Kitchen,Standard,1802.15,1.682,875.4,3,2.94,5.96,4.59,25.89
ORD-101149,Books,Express,299.1,1.221,263.2,2,3.77,5.81,4.91,15.25
ORD-100770,Apparel,Express,2124.76,0.184,2.2,1,2.11,7.38,4.92,8.72
ORD-101137,Apparel,Standard,3088.53,1.688,770.2,7,,4.48,3.53,29.91
ORD-100290,Books,Standard,337.88,1.118,1372.3,3,4.11,10.0,7.15,41.92
ORD-100447,Home_Kitchen,Standard,4564.56,7.236,1306.2,3,1.26,7.26,5.87,32.49
ORD-100465,Groceries,EXPRESS,1357.06,3.622,49.7,6,4.06,8.95,4.52,12.24
ORD-100380,Home_Kitchen,Express,4667.6,2.504,28.6,5,2.57,3.38,5.59,13.43
ORD-100376,Beauty,Standard,5257.0,2.577,77.2,6,2.52,7.22,6.04,16.73
ORD-100321,Home_Kitchen,Standard,12440.92,16.893,41.9,4,4.04,6.23,1.93,15.06
ORD-100083,Electronics,Standard,50764.3,5.845,783.2,4,1.46,4.79,6.21,30.19
ORD-100129,Home_Kitchen,Express,10777.11,8.24,144.1,7,3.87,5.6,5.3,15.38
ORD-100848,Electronics,Standard,5691.49,0.668,926.0,3,1.67,7.67,4.01,30.11
ORD-100631,Books,Express,330.97,1.247,25.7,2,0.36,3.83,2.37,4.72
ORD-100922,Home_Kitchen,Standard,2369.1,4.437,33.3,5,4.81,6.33,6.82,116.19
ORD-100453,Electronics,Standard,30802.37,23.781,531.1,3,2.15,3.55,6.91,24.89
ORD-100260,Electronics,Standard,5196.75,1.131,351.8,2,2.26,1.88,4.63,18.6
ORD-100548,Groceries,Standard,2265.87,8.422,219.9,6,3.8,7.21,4.33,19.62
ORD-100560,Electronics,Standard,12987.59,2.022,388.8,5,3.49,5.54,2.98,21.79
ORD-100900,Home_Kitchen,Standard,9506.61,19.696,7.1,6,1.25,4.67,4.37,17.39
ORD-100964,Beauty,Standard,1378.23,0.347,238.1,2,3.44,6.16,6.36,20.01
ORD-100138,Books,Standard,1223.14,1.64,394.3,7,5.83,9.12,10.0,29.99
ORD-100947,Books,Express,655.52,2.82,18.2,6,0.87,2.98,4.38,9.6
ORD-100141,Home_Kitchen,Standard,3909.02,2.066,43.7,2,3.61,6.75,7.11,17.79
ORD-100944,Home_Kitchen,Standard,3352.09,10.587,171.8,6,1.35,4.49,6.71,18.64
ORD-100405,Books,Same_Day,437.95,1.185,3.7,4,1.95,5.31,5.63,7.41
ORD-101048,Books,Express,1533.2,1.602,40.4,5,4.06,7.45,6.52,16.5
ORD-100139,Electronics,Express,30488.46,14.05,97.5,6,1.45,2.82,3.08,12.46
ORD-100377,Apparel,Standard,4442.1,1.863,25.8,7,11.64,4.63,4.85,24.74
ORD-100859,Home_Kitchen,Express,2944.61,6.833,28.3,3,2.03,5.82,4.73,9.86
ORD-100224,Apparel,standard,1814.93,0.883,1091.3,6,7.12,5.35,4.48,35.68
ORD-100471,Home_Kitchen,Same_Day,3148.16,1.669,21.3,3,6.58,4.95,5.75,12.1
ORD-100274,Groceries,Express,1747.07,6.997,33.6,3,2.57,5.75,4.4,11.05
ORD-100292,Beauty,Standard,1414.49,2.511,751.2,10,4.52,1.09,2.6,26.37
ORD-100567,Electronics,Standard,5579.25,0.923,18.7,1,0.4,3.28,3.25,14.07
ORD-100591,Home_Kitchen,Standard,2699.43,12.454,131.3,3,3.14,8.13,6.24,19.89
ORD-100381,Beauty,Standard,462.02,0.742,492.4,1,4.61,5.86,4.97,24.01
ORD-101114,Beauty,Standard,,0.322,1255.2,3,1.94,4.22,4.33,33.97
ORD-100636,Groceries,Standard,715.42,14.066,862.8,3,0.8,3.98,5.18,25.4
ORD-100973,Beauty,Express,3507.72,0.48,644.2,4,3.61,6.59,1.36,19.94
ORD-100771,Home_Kitchen,Same_Day,1318.61,1.054,46.3,1,3.84,7.34,8.25,12.83
